time,u_q,coolant,u_d,motor_speed,i_d,i_q,ambient,torque,i_s,u_s,pm,stator_yoke,stator_tooth,stator_winding
0.0,-1.6156359680736063,39.62820534776019,1.8388531662502028,0.7844618130132607,-2.000343086401552,1.0966188745827627,25.643709755600703,-2.653759530483607e-14,0.005816352462225035,0.014954982705102586,35.52539111455523,38.018523080284275,37.866300008276774,38.89503499515642
0.5,1.8425105241307365,39.63204723215013,2.959489646526664,78.64217961724664,-4.512193246546526,-15.128810564207605,25.651496404355953,-11.65106194620666,0.04242273276472373,0.02124753769612739,35.53246969218529,38.015853474749306,37.862990307017604,38.902883413249626
1.0,6.17076720422765,39.63584498089899,4.9075626792978495,179.47817035332648,-7.010245214841194,-30.145682073566615,25.646055756410934,-22.48206594555285,0.08334997700181404,0.04830168604907311,35.52773189800145,38.018232610804745,37.86493775758792,38.90704576371551
1.5,12.377327128288975,39.63361476011669,7.353251947047575,316.9734569515128,-8.396413364938457,-38.78403942218111,25.632130583977656,-28.677991965966818,0.10691730824303577,0.08837081993641886,35.51432688995388,38.02212377699918,37.86633316689734,38.905204903347446
2.0,20.324437024715255,39.63159074713863,9.47458692192889,486.5935443756382,-8.457661973465097,-40.92605998773448,25.636571080583057,-30.15290422666583,0.11262879371452209,0.137819042260354,35.53147978328227,38.01677836876116,37.86393467282581,38.92853533225378
2.5,29.547438487578173,39.63027109325333,11.334740323948468,679.0261699679879,-7.683657204928561,-40.17307361058342,25.643114863401422,-29.524272477138698,0.11027639946488055,0.1946500677232055,35.55314255083531,38.0156475633603,37.86129547010699,38.94346250574037
3.0,37.911762016578614,39.63365801826212,12.91693502948154,853.4488776468726,-6.843009092624329,-38.89523741086703,25.65576930430225,-28.532716260467517,0.10651880980496924,0.246437240992183,35.55033933029024,38.0161116865842,37.86457294100834,38.93113821815809
3.5,45.397325161034075,39.63204773291232,14.747383520031303,1011.484753948846,-6.488110083392073,-38.61997164366363,25.67050042921948,-28.288733445221244,0.10564445035833933,0.29373513012132124,35.59702972646393,38.011691950088796,37.86715150318325,38.92175155028156
4.0,52.761890266068036,39.62489756807779,17.662039315737413,1173.715160779898,-6.930155915263325,-40.28295731085907,25.661982209399504,-29.481788442009066,0.11025678574727679,0.3423650795648198,35.60101633641108,38.00552455239613,37.86452103639726,38.897545299907286
4.5,57.500711949863735,39.59892362612402,21.429655712682273,1287.0739544350815,-8.091453885887683,-44.80108572981382,25.66999701916081,-32.772445216255434,0.12277789851119193,0.377467849054135,35.53111324462081,38.01183178723729,37.86171561796531,38.8962484704962
5.0,59.0949243051823,39.59965208697279,25.581967385897332,1336.6064211319572,-9.79140074810763,-52.63024940938753,25.67801309033972,-38.52141931564911,0.14435347713608276,0.39589105904894345,35.527195361215675,38.02047543172324,37.86402440297071,38.88677680158131
5.5,57.9772359166695,39.61132669720401,28.913132749802124,1334.372294550499,-12.784060590850356,-61.60219047132055,25.66271005291373,-45.313667643011044,0.1695548536875534,0.39805135911357326,35.539970834461556,38.022925297620226,37.86567871971646,38.86455544687255
6.0,54.99028555318784,39.60676271716039,30.9484481154421,1291.7945433786717,-16.344222193506777,-70.5412232156243,25.660119296090194,-52.211000194027456,0.19500841231163624,0.3874483112652989,35.583634991277265,38.01858300773987,37.866864089462396,38.83558822777905
6.5,51.16440016862585,39.608534410808865,31.983985958050525,1227.7417590595287,-19.90109440225417,-79.09762197089616,25.668121614140606,-58.88639585649849,0.21952188423751332,0.37025845047376954,35.599576642127985,38.01497580802925,37.86771344399997,38.85327162981187
7.0,47.043272434445825,39.59602866865954,32.24328232175371,1152.2028817006817,-22.955770511360146,-87.09407130767885,25.690503107847185,-65.13687603382701,0.2423196361524855,0.3497620031297288,35.523997808954185,38.01724996103814,37.86832203311991,38.83946680362317
7.5,42.35750815101115,39.59927575153099,31.465602683025534,1059.372161702224,-25.614743909073894,-94.56984163307777,25.69619252887598,-70.98895554179174,0.26353284908584335,0.3234179571120554,35.58287560303596,38.01590590790784,37.86875810627962,38.824568436583085
8.0,37.123571804029595,39.59991633106793,29.60367195048312,950.0497113765989,-28.153215894781447,-101.52315578030752,25.69980113809752,-76.47153743471749,0.28331228736963526,0.2908828073438533,35.61212884802451,38.01286294026606,37.865672217819466,38.80404229400894
8.5,33.59079805948973,39.605519691409405,28.354850680724283,875.4476527246193,-29.864349950017917,-106.15166453897056,25.710060177846984,-80.12352802277255,0.29649644479361714,0.26918331299515774,35.62344786444197,38.010293274849644,37.85914212696568,38.81184276041908
