time,pm_pred,stator_yoke_pred,stator_tooth_pred,stator_winding_pred
0.0,23.14468,22.525713,22.396318,23.351286
0.5,23.16702,22.537703,22.407763,23.377672
1.0,23.188486,22.549421,22.418543,23.401896
1.5,23.20829,22.560516,22.428305,23.422981
2.0,23.22605,22.570787,22.43694,23.44067
2.5,23.241568,22.580122,22.44443,23.454983
3.0,23.25444,22.588352,22.450546,23.465261
3.5,23.264091,22.595253,22.454885,23.47035
4.0,23.270428,22.600767,22.457434,23.470247
4.5,23.273743,22.605003,22.458492,23.47412
5.0,23.274065,22.607973,22.459398,23.482128
5.5,23.276838,22.609596,22.461887,23.494648
6.0,23.283144,22.610199,22.46626,23.512497
6.5,23.292917,22.612234,22.472528,23.535707
7.0,23.307337,22.616135,22.48195,23.567688
7.5,23.326344,22.621891,22.494616,23.608694
8.0,23.348991,22.629135,22.50996,23.657183
8.5,23.374472,22.637543,22.527441,23.711636
9.0,23.402184,22.646889,22.546587,23.770721
9.5,23.431787,22.657057,22.567045,23.833431
10.0,23.46275,22.667847,22.588276,23.898216
10.5,23.494385,22.678978,22.609598,23.963188
11.0,23.526625,22.690414,22.631056,24.028475
11.5,23.5596,22.702188,22.653042,24.095177
12.0,23.593044,22.714182,22.67536,24.162737
12.5,23.626606,22.726257,22.697536,24.229843
13.0,23.659893,22.738243,22.719109,24.295258
13.5,23.69248,22.749928,22.739618,24.357807
14.0,23.724352,22.761293,22.759073,24.417591
14.5,23.755726,22.772444,22.777794,24.475435
15.0,23.786556,22.783348,22.795782,24.531372
15.5,23.81666,22.793913,22.81285,24.58497
16.0,23.846357,22.804287,22.829351,24.637136
16.5,23.876156,22.814716,22.84592,24.689426
17.0,23.906404,22.825367,22.862978,24.742884
17.5,23.937399,22.836382,22.880823,24.798292
18.0,23.968918,22.847649,22.899189,24.854975
18.5,24.000523,22.858967,22.917519,24.91155
19.0,24.031685,22.870077,22.935244,24.966583
19.5,24.061789,22.88067,22.951773,25.018654
20.0,24.090265,22.890455,22.96659,25.066563
20.5,24.116713,22.89922,22.979332,25.109577
21.0,24.14148,22.907127,22.990305,25.14855
21.5,24.165226,22.914515,23.000116,25.184944
22.0,24.188717,22.921778,23.009508,25.22043
22.5,24.212711,22.92931,23.019321,25.25684
23.0,24.237152,22.937082,23.029556,25.294146
23.5,24.261526,22.944828,23.039665,25.331158
24.0,24.285397,22.95232,23.049202,25.366915
24.5,24.308449,22.959385,23.05785,25.40077
25.0,24.330744,22.966057,23.065653,25.432869
25.5,24.352499,22.972446,23.072811,25.463682
26.0,24.373919,22.978662,23.07951,25.493612
26.5,24.3952,22.984806,23.085905,25.523031
27.0,24.416832,22.991138,23.09239,25.552788
27.5,24.439526,22.998034,23.09959,25.584263
28.0,24.462912,23.005299,23.107244,25.616854
28.5,24.485886,23.012356,23.114483,25.648594
29.0,24.508291,23.01912,23.121206,25.679249
29.5,24.530506,23.025795,23.127705,25.709469
30.0,24.552872,23.03256,23.13427,25.739838
30.5,24.575745,23.039595,23.141294,25.771135
31.0,24.599276,23.046974,23.148945,25.803724
31.5,24.623432,23.054686,23.15713,25.837465
32.0,24.648287,23.062761,23.165926,25.872538
32.5,24.673925,23.071243,23.175516,25.909275
33.0,24.70035,23.080126,23.185968,25.947803
33.5,24.727505,23.089382,23.19724,25.988045
34.0,24.755817,23.099226,23.209763,26.031013
34.5,24.785927,23.109968,23.224218,26.078371
35.0,24.81772,23.121544,23.240557,26.130074
35.5,24.850645,23.13368,23.258287,26.184982
36.0,24.884,23.146034,23.27669,26.241356
36.5,24.917137,23.158287,23.294977,26.29732
37.0,24.949568,23.1702,23.3126,26.351562
37.5,24.98095,23.181599,23.329212,26.40328
38.0,25.011766,23.192722,23.345255,26.453575
38.5,25.042925,23.204018,23.36162,26.504606
39.0,25.074123,23.215343,23.378017,26.555656
39.5,25.10437,23.2262,23.393436,26.60435
40.0,25.133556,23.236534,23.407797,26.650507
40.5,25.16197,23.246489,23.421503,26.695034
41.0,25.189531,23.256025,23.434566,26.737907
41.5,25.216003,23.265024,23.446768,26.778625
42.0,25.241318,23.273447,23.458048,26.817059
42.5,25.265533,23.281326,23.468464,26.853365
43.0,25.288538,23.2886,23.477905,26.887312
43.5,25.310225,23.2952,23.486216,26.918644
44.0,25.330704,23.30117,23.493437,26.947552
44.5,25.350185,23.306612,23.49971,26.974436
45.0,25.369162,23.311785,23.505444,27.000193
45.5,25.388184,23.31699,23.511194,27.02595
46.0,25.407473,23.322346,23.517206,27.052216
46.5,25.427046,23.32786,23.523495,27.079025
47.0,25.447065,23.333614,23.530193,27.106697
47.5,25.467787,23.33974,23.53754,27.13577
48.0,25.489388,23.346327,23.545677,27.1666
48.5,25.51199,23.353432,23.554672,27.19939
49.0,25.535143,23.360825,23.564089,27.233166
49.5,25.558058,23.368095,23.573204,27.266289
50.0,25.580507,23.37513,23.581804,27.298296
50.5,25.602623,23.38199,23.589973,27.329414
51.0,25.624722,23.388845,23.598001,27.36029
51.5,25.64717,23.395884,23.606297,27.391771
52.0,25.670034,23.403143,23.614948,27.424038
52.5,25.693214,23.410568,23.623829,27.456835
53.0,25.71656,23.418089,23.632778,27.489826
53.5,25.739933,23.425625,23.641665,27.522717
54.0,25.763363,23.433199,23.650553,27.555626
54.5,25.786963,23.440865,23.659637,27.58893
55.0,25.8112,23.44886,23.669416,27.623713
55.5,25.836802,23.45755,23.680632,27.66169
56.0,25.86362,23.466854,23.693153,27.70259
56.5,25.89095,23.476421,23.706274,27.744774
57.0,25.918125,23.48592,23.71931,27.786667
57.5,25.944614,23.495077,23.731665,27.826944
58.0,25.97029,23.503824,23.74319,27.86531
58.5,25.995155,23.512169,23.753971,27.901926
59.0,26.019377,23.520191,23.764177,27.937174
59.5,26.043215,23.528023,23.774021,27.97157
60.0,26.066998,23.535833,23.783812,28.005806
60.5,26.091042,23.543783,23.793907,28.040674
61.0,26.115522,23.551958,23.804464,28.076532
61.5,26.14058,23.560434,23.815523,28.11355
62.0,26.166546,23.569372,23.827372,28.152414
62.5,26.193806,23.578962,23.84044,28.19413
63.0,26.222187,23.589123,23.854607,28.238398
63.5,26.251179,23.599594,23.869375,28.284058
64.0,26.280504,23.61024,23.884464,28.330431
64.5,26.310045,23.621002,23.899708,28.377155
65.0,26.339193,23.631575,23.914501,28.42281
65.5,26.367123,23.641539,23.928059,28.465567
66.0,26.393751,23.65085,23.940273,28.505268
66.5,26.419443,23.659695,23.951427,28.542646
67.0,26.444239,23.668089,23.96158,28.577873
67.5,26.467955,23.675938,23.97063,28.610706
68.0,26.490862,23.683378,23.978872,28.641773
68.5,26.513407,23.690636,23.986776,28.672037
69.0,26.53582,23.697832,23.99463,28.702078
69.5,26.558212,23.705019,24.002596,28.732208
70.0,26.580465,23.712141,24.010614,28.762278
70.5,26.602333,23.719076,24.018486,28.791826
71.0,26.623737,23.725777,24.026102,28.820648
71.5,26.64475,23.732283,24.033407,28.848732
72.0,26.665625,23.738722,24.040585,28.876507
72.5,26.686642,23.745243,24.047935,28.904612
73.0,26.707748,23.751818,24.05541,28.932932
73.5,26.728716,23.758324,24.062733,28.960918
74.0,26.749495,23.764736,24.06985,28.988468
74.5,26.770077,23.771051,24.076828,29.015663
75.0,26.790165,23.777113,24.083424,29.041967
75.5,26.809448,23.782747,24.089308,29.066774
76.0,26.828197,23.788097,24.094666,29.090517
76.5,26.846907,23.793428,24.09994,29.114098
77.0,26.865963,23.79895,24.105518,29.138288
77.5,26.885721,23.804846,24.111782,29.163889
78.0,26.906418,23.811241,24.118992,29.191471
78.5,26.928171,23.818188,24.127289,29.221355
79.0,26.951078,23.825735,24.136742,29.253765
79.5,26.97523,23.833921,24.14737,29.288822
80.0,27.000502,23.84268,24.159021,29.326227
80.5,27.026611,23.851868,24.171442,29.365385
81.0,27.053524,23.861465,24.184618,29.406277
81.5,27.081358,23.871527,24.198698,29.449268
82.0,27.110027,23.882017,24.21358,29.494131
82.5,27.139347,23.892836,24.228985,29.540249
83.0,27.169302,23.90398,24.244858,29.587513
83.5,27.199974,23.91549,24.261284,29.636133
84.0,27.230982,23.927176,24.277925,29.68528
84.5,27.261627,23.938692,24.294168,29.733452
85.0,27.291307,23.94973,24.309458,29.77933
85.5,27.31958,23.960068,24.32335,29.821945
86.0,27.346733,23.969847,24.33611,29.861944
86.5,27.373377,23.979374,24.34835,29.900732
87.0,27.399376,23.988585,24.35999,29.938099
87.5,27.424234,23.99722,24.370564,29.973026
88.0,27.448093,24.005354,24.380167,30.005789
88.5,27.471426,24.013227,24.389181,30.03729
89.0,27.49442,24.020935,24.397785,30.067936
89.5,27.517044,24.028461,24.40601,30.09774
