name,value
model₊cond_net₊nn₊p[1],-0.29164131794630904
model₊cond_net₊nn₊p[2],-0.3029404318071251
model₊cond_net₊nn₊p[3],-0.7427046301253375
model₊cond_net₊nn₊p[4],-0.11881566951567953
model₊cond_net₊nn₊p[5],-0.08933806375103569
model₊cond_net₊nn₊p[6],-0.19086923648169685
model₊cond_net₊nn₊p[7],-0.1372954134135073
model₊cond_net₊nn₊p[8],0.11207966946088149
model₊cond_net₊nn₊p[9],0.07911614940392721
model₊cond_net₊nn₊p[10],0.006098702087364637
model₊cond_net₊nn₊p[11],-0.021508505455613943
model₊cond_net₊nn₊p[12],-0.01832270120960413
model₊cond_net₊nn₊p[13],-0.016289157218056093
model₊cond_net₊nn₊p[14],-0.00766663923774721
model₊cond_net₊nn₊p[15],-2.705506682395935e-9
model₊cond_net₊nn₊p[16],-0.25647026676040224
model₊cond_net₊nn₊p[17],-0.28905506508194284
model₊cond_net₊nn₊p[18],-0.6735806473480372
model₊cond_net₊nn₊p[19],-0.12107826496483932
model₊cond_net₊nn₊p[20],-0.08278652741434148
model₊cond_net₊nn₊p[21],-0.15890731658941576
model₊cond_net₊nn₊p[22],-0.10941149005048709
model₊cond_net₊nn₊p[23],0.07771932796683277
model₊cond_net₊nn₊p[24],0.05433689991298439
model₊cond_net₊nn₊p[25],-0.016205928570599087
model₊cond_net₊nn₊p[26],-0.03208423466441997
model₊cond_net₊nn₊p[27],-0.021392924865386284
model₊cond_net₊nn₊p[28],-0.03210670556356203
model₊cond_net₊nn₊p[29],-0.01773289447732557
model₊cond_net₊nn₊p[30],2.5925606489181518e-9
model₊cond_net₊nn₊p[31],0.08791440474563504
model₊cond_net₊nn₊p[32],0.15339663288169197
model₊cond_net₊nn₊p[33],0.45612193530588546
model₊cond_net₊nn₊p[34],0.11575870102079563
model₊cond_net₊nn₊p[35],0.06079872600032553
model₊cond_net₊nn₊p[36],0.03618573686670529
model₊cond_net₊nn₊p[37],0.05085970593657059
model₊cond_net₊nn₊p[38],0.018942124095436774
model₊cond_net₊nn₊p[39],0.007818894063051397
model₊cond_net₊nn₊p[40],0.07480948874243545
model₊cond_net₊nn₊p[41],0.05330991454632298
model₊cond_net₊nn₊p[42],0.023057022314345667
model₊cond_net₊nn₊p[43],0.06708537571992818
model₊cond_net₊nn₊p[44],0.04168849171248329
model₊cond_net₊nn₊p[45],8.543820679187775e-10
model₊cond_net₊nn₊p[46],-0.2584807774727381
model₊cond_net₊nn₊p[47],-0.28774257952463905
model₊cond_net₊nn₊p[48],-0.6625816128955453
model₊cond_net₊nn₊p[49],-0.12229688961754394
model₊cond_net₊nn₊p[50],-0.08413451261518398
model₊cond_net₊nn₊p[51],-0.16045773488694876
model₊cond_net₊nn₊p[52],-0.11069009700445238
model₊cond_net₊nn₊p[53],0.07868894275927905
model₊cond_net₊nn₊p[54],0.05519370457608694
model₊cond_net₊nn₊p[55],-0.015023580772534377
model₊cond_net₊nn₊p[56],-0.032413840787936105
model₊cond_net₊nn₊p[57],-0.021863704471536963
model₊cond_net₊nn₊p[58],-0.032186673660853996
model₊cond_net₊nn₊p[59],-0.017915165952254328
model₊cond_net₊nn₊p[60],2.0130452513694764e-9
model₊cond_net₊nn₊p[61],0.20220934561088308
model₊cond_net₊nn₊p[62],0.23535975521352628
model₊cond_net₊nn₊p[63],0.612695357229706
model₊cond_net₊nn₊p[64],0.11054612151561467
model₊cond_net₊nn₊p[65],0.06598291407605268
model₊cond_net₊nn₊p[66],0.1299072942762461
model₊cond_net₊nn₊p[67],0.09446565726152752
model₊cond_net₊nn₊p[68],-0.05539179440631651
model₊cond_net₊nn₊p[69],-0.0404463653657017
model₊cond_net₊nn₊p[70],0.0386900237337871
model₊cond_net₊nn₊p[71],0.03591956681810377
model₊cond_net₊nn₊p[72],0.019884548275102495
model₊cond_net₊nn₊p[73],0.04191727128140448
model₊cond_net₊nn₊p[74],0.023983592623246293
model₊cond_net₊nn₊p[75],1.5989264845848084e-9
model₊cond_net₊nn₊p[76],-0.06141344735236325
model₊cond_net₊nn₊p[77],-0.12713358142452869
model₊cond_net₊nn₊p[78],-0.45690347060180747
model₊cond_net₊nn₊p[79],-0.10635395659020243
model₊cond_net₊nn₊p[80],-0.04982332210784645
model₊cond_net₊nn₊p[81],-0.02646923746916818
model₊cond_net₊nn₊p[82],-0.05008630413493586
model₊cond_net₊nn₊p[83],-0.023936561612635434
model₊cond_net₊nn₊p[84],-0.010219702542561746
model₊cond_net₊nn₊p[85],-0.08463548907856022
model₊cond_net₊nn₊p[86],-0.052475937171718716
model₊cond_net₊nn₊p[87],-0.02321503469238696
model₊cond_net₊nn₊p[88],-0.06935436433499237
model₊cond_net₊nn₊p[89],-0.043602260962989206
model₊cond_net₊nn₊p[90],5.536172389984131e-9
model₊cond_net₊nn₊p[91],-0.3091649244266752
model₊cond_net₊nn₊p[92],-0.36407462944364116
model₊cond_net₊nn₊p[93],-0.6117122305900949
model₊cond_net₊nn₊p[94],-0.15534728235067505
model₊cond_net₊nn₊p[95],-0.12212063871541512
model₊cond_net₊nn₊p[96],-0.16441985662261446
model₊cond_net₊nn₊p[97],-0.09433789427217933
model₊cond_net₊nn₊p[98],0.07917859068806231
model₊cond_net₊nn₊p[99],0.05319656035835057
model₊cond_net₊nn₊p[100],0.029635225692168064
model₊cond_net₊nn₊p[101],-0.035059347468384953
model₊cond_net₊nn₊p[102],-0.024091262069114983
model₊cond_net₊nn₊p[103],-0.02333412970871177
model₊cond_net₊nn₊p[104],-0.009179910958377082
model₊cond_net₊nn₊p[105],-7.630337774753571e-10
model₊cond_net₊nn₊p[106],-0.052635895294118225
model₊cond_net₊nn₊p[107],-0.12083099905215314
model₊cond_net₊nn₊p[108],-0.45256536240849593
model₊cond_net₊nn₊p[109],-0.10489905092989671
model₊cond_net₊nn₊p[110],-0.047884043763750876
model₊cond_net₊nn₊p[111],-0.021710349651485966
model₊cond_net₊nn₊p[112],-0.048722238236474265
model₊cond_net₊nn₊p[113],-0.027150994492035722
model₊cond_net₊nn₊p[114],-0.012142043138386063
model₊cond_net₊nn₊p[115],-0.08723659896142642
model₊cond_net₊nn₊p[116],-0.0528128027162923
model₊cond_net₊nn₊p[117],-0.023106570060046225
model₊cond_net₊nn₊p[118],-0.07044594133452203
model₊cond_net₊nn₊p[119],-0.044517381490426645
model₊cond_net₊nn₊p[120],4.2155377566814425e-10
model₊cond_net₊nn₊p[121],-0.19575876193846642
model₊cond_net₊nn₊p[122],-0.23092829337863724
model₊cond_net₊nn₊p[123],-0.6040891933943079
model₊cond_net₊nn₊p[124],-0.11078052608813464
model₊cond_net₊nn₊p[125],-0.06549639447479615
model₊cond_net₊nn₊p[126],-0.12525074374250914
model₊cond_net₊nn₊p[127],-0.09183824665091878
model₊cond_net₊nn₊p[128],0.051334715194903256
model₊cond_net₊nn₊p[129],0.037709911855674426
model₊cond_net₊nn₊p[130],-0.040897198036770804
model₊cond_net₊nn₊p[131],-0.03700349614369846
model₊cond_net₊nn₊p[132],-0.020200043402804943
