time,Q_in,theta_zone_1,theta_zone_2,theta_zone_3,theta_zone_4
0.0,0.0,0.0,0.0,0.0,0.0
0.2002002002002002,0.0,0.0,0.0,0.0,0.0
0.4004004004004004,0.0,0.0,0.0,0.0,0.0
0.6006006006006006,0.0,0.0,0.0,0.0,0.0
0.8008008008008008,0.0,0.0,0.0,0.0,0.0
1.001001001001001,0.0,0.0,0.0,0.0,0.0
1.2012012012012012,0.0,0.0,0.0,0.0,0.0
1.4014014014014013,0.0,0.0,0.0,0.0,0.0
1.6016016016016017,0.0,0.0,0.0,0.0,0.0
1.8018018018018018,0.0,0.0,0.0,0.0,0.0
2.002002002002002,0.0,0.0,0.0,0.0,0.0
2.2022022022022023,0.0,0.0,0.0,0.0,0.0
2.4024024024024024,0.0,0.0,0.0,0.0,0.0
2.6026026026026026,0.0,0.0,0.0,0.0,0.0
2.8028028028028027,0.0,0.0,0.0,0.0,0.0
3.003003003003003,0.0,0.0,0.0,0.0,0.0
3.2032032032032034,0.0,0.0,0.0,0.0,0.0
3.4034034034034035,0.0,0.0,0.0,0.0,0.0
3.6036036036036037,0.0,0.0,0.0,0.0,0.0
3.803803803803804,0.0,0.0,0.0,0.0,0.0
4.004004004004004,0.0,0.0,0.0,0.0,0.0
4.2042042042042045,0.0,0.0,0.0,0.0,0.0
4.404404404404405,0.0,0.0,0.0,0.0,0.0
4.604604604604605,0.0,0.0,0.0,0.0,0.0
4.804804804804805,0.0,0.0,0.0,0.0,0.0
5.005005005005005,300.125789487346,0.003584026770511173,0.0,0.0,0.0
5.205205205205205,305.15679776490816,0.14965680468014853,3.0196577540664293e-6,7.389644451905042e-13,0.0
5.405405405405405,310.1845423747459,0.29833975644913835,0.00010221824487643971,1.2029204299324192e-9,0.0
5.605605605605605,315.2058413251354,0.4489884808441502,0.0006654591546748634,5.0559151532070246e-8,4.547473508864641e-13
5.8058058058058055,320.2175167037236,0.60103307228826,0.0022583064949799336,6.039697382220766e-7,2.3078428057488054e-11
6.006006006006006,325.2163966887864,0.7539040315313059,0.005442823299290467,3.676403878216661e-6,4.0097347664413974e-10
6.206206206206206,330.1993175566314,0.9071415277815618,0.010666383138755009,1.4769676511150465e-5,3.6836240724369418e-9
6.406406406406407,335.1631256838763,1.06041786457115,0.018237152425967906,4.492153527735354e-5,2.1784785531053785e-8
6.606606606606607,340.1046795433342,1.2135181370546206,0.028342054217432633,0.00011207052455119992,9.541940926283132e-8
6.806806806806807,345.0208516922443,1.3663141423132288,0.041072482152401335,0.00024140042711451315,3.3159926715597976e-7
7.007007007007007,349.9085307515878,1.5187370307310744,0.05645214272328758,0.00046479176194225147,9.661085300649574e-7
7.207207207207207,354.7646233752378,1.6707594114216704,0.07445615982373965,0.0008195389350476034,2.443942150875955e-6
7.407407407407407,359.5860562076964,1.8223805221697376,0.09502740054159631,0.0013467568988971834,5.527094799617771e-6
7.607607607607608,364.36977782917984,1.973615000544612,0.11808910852658983,0.0020898906130923933,1.1389258702365623e-5
7.807807807807808,369.11276068682093,2.1244773486369013,0.14356219087073896,0.0030928632485256458,2.1727867817844526e-5
8.008008008008009,373.8120030107665,2.2750357505142347,0.17130993052097665,0.004401490049644963,3.883204607291191e-5
8.208208208208209,378.46453071395683,2.4252528973226504,0.2013068683562551,0.0060536176860068736,6.574684459792479e-5
8.408408408408409,383.0673992743856,2.5751654260318446,0.2334482441008845,0.008090364882377798,0.00010616833367294021
8.608608608608609,387.61769559864763,2.7249599387296826,0.267465830637434,0.010564458809824373,0.00016426505089839338
8.80880880880881,392.1125398655968,2.874298310991321,0.3036753467693529,0.013465891640009886,0.00024631601456803764
9.00900900900901,396.54908734894565,3.0236883236837,0.3414345559248204,0.01689770584789585,0.00035620855737761303
9.20920920920921,400.9245302176548,3.172708130338151,0.3811768106713771,0.020810105610621576,0.0005033323699308312
9.40940940940941,405.2360993129707,3.321660298291704,0.4224791914160164,0.025288281264636225,0.000692588711785902
9.60960960960961,409.48106590098917,3.470422485410154,0.4654330328930314,0.030324072641462863,0.0009331655507480718
9.80980980980981,413.6567433996344,3.6190538317003984,0.5099024100728684,0.035951239491225806,0.0012330061993566233
10.01001001001001,417.7604890789601,3.7675296427484,0.5558618779106723,0.04217658800149593,0.0016008181036113456
10.21021021021021,421.789705733698,3.9158630116112363,0.6032366463488188,0.04901798658841017,0.0020456643731563418
10.41041041041041,425.7418433269937,4.064050954772824,0.6519716479121485,0.05648718909742456,0.002577220372472766
10.61061061061061,429.614400604291,4.212094898332396,0.7020065170789849,0.06459541753707754,0.003205168266219971
10.81081081081081,433.4049266763417,4.35998243187754,0.7532976134867226,0.07334950814259855,0.003939460169476661
11.01101101101101,437.11102257034065,4.507712560625976,0.8057872176349292,0.0827578413004062,0.004789966035957605
11.21121121121121,440.73034274820316,4.655261834700582,0.8594450016446444,0.09282221594196471,0.005767020360678998
11.411411411411411,444.2605965910243,4.802631390763395,0.9142094222616493,0.10355060305687402,0.006880260088905743
11.611611611611611,447.699549848781,4.949794366719914,0.9700546944710595,0.11494117714374852,0.008140228749141443
11.811811811811811,451.0450260543584,5.096730660348896,1.0269442347447466,0.12699583231949418,0.009556685583106628
12.012012012012011,454.2949079010068,5.243457882427947,1.084793696632289,0.13972655501049758,0.011138269378079713
12.212212212212211,457.4471385823562,5.389847394687592,1.1437123395173785,0.15309060381707695,0.01289994752835355
12.412412412412412,460.49972309414176,5.536064966584945,1.203407370310856,0.16716815508596028,0.014840378136625532
12.612612612612613,463.4507294968147,5.681860822074384,1.2641639130437738,0.1818501203665619,0.01698415027919964
12.812812812812814,466.29829013824076,5.827434307084161,1.3256270182459957,0.19725038969335174,0.019322828148119697
13.013013013013014,469.04060283571243,5.972550991639707,1.3880721505614133,0.2132495459181314,0.021883760308014644
13.213213213213214,471.67593201652573,6.117362470093553,1.4512022998404177,0.22994958896777007,0.024658386124428944
13.413413413413414,474.20260981640064,6.261658361438776,1.5152766270817892,0.24722285540610756,0.027677296491788184
13.613613613613614,476.61903713505035,6.4056258794601035,1.5799126564002677,0.2652250310019326,0.03091899080084204
13.813813813813814,478.92368464822994,6.549071324540932,1.645355618953431,0.2838275448489753,0.034414084798868316
14.014014014014014,481.11509377562504,6.692013687954272,1.7114900008541554,0.3030662941480955,0.03816262563651662
14.214214214214214,483.1918776039678,6.834415927278542,1.778291908960398,0.3229331821212327,0.04217307140970661
