timestamp,model.tire.s(t),model.driver.s(t),model.driver.a(t)
0.0,0.178908,1.1551790000000002,6.616119208047167e-11
0.01,0.1789795964919556,1.1551791153531419,0.012692646004990517
0.02,0.17909775234167635,1.1551805152299512,0.03221800476330524
0.03,0.17920780959375665,1.155185072313472,0.04756730083836525
0.04,0.17929761628313493,1.1551943265610531,0.05725891800602918
0.05,0.1793656004150517,1.1552092358458406,0.061294328463303224
0.06,0.17941326745024685,1.1552301843665385,0.05861293891148913
0.07,0.17944324924155036,1.1552570610512694,0.056000018678316034
0.08,0.17945862668861792,1.1552893558845498,0.046104362664573274
0.09,0.17946257476717517,1.1553262671168152,0.038064303134613814
0.1,0.17945812806615416,1.1553667986313334,0.02506389657543271
0.11,0.17958436499044866,1.1554099405950409,0.02098226464118549
0.12,0.18054104636116666,1.1554577794887402,0.15479344171863582
0.13,0.18280056498277847,1.1555217074794002,0.34831060341755193
0.14,0.1863976657813772,1.155620827447507,0.5855896896660154
0.15,0.19079627316665046,1.1557787059180684,0.8466210144594243
0.16,0.19519540406945582,1.1560212679689628,1.1103039831137311
0.17,0.19896359066984085,1.156374716413703,1.3567700446476374
0.18,0.2019327053970041,1.1568635335566042,1.565824218920211
0.19,0.20442384936321042,1.157508443311908,1.7177418704167924
0.2,0.20669902869117532,1.158324652147892,1.8126486578106764
0.21,0.20875475560062656,1.1593216898952814,1.8547527424098205
0.22,0.2104869911980284,1.1605037307316768,1.840029759368831
0.23,0.21176004640885437,1.1618692343287005,1.7605367237028122
0.24,0.21242610407054802,1.163410185864147,1.60834984387135
0.25,0.2123641340995276,1.1651112954111915,1.374519002573452
0.26,0.21154129032596578,1.1669490293127294,1.0394349347663108
0.27,0.21003831636714582,1.1688892312396688,0.5264068497142671
0.28,0.2080079496989967,1.1708855252078259,0.18185554062438467
0.29,0.20560437519041116,1.172900043172514,-0.15407877274374188
0.3,0.20293145162354434,1.1748992137594747,-0.4828187031585973
0.31,0.20003035847834266,1.1768501641371591,-0.8041868172355073
0.32,0.19690043496331344,1.1787207510594875,-1.1189219908481574
0.33,0.1935332195580454,1.1804794936172072,-1.4278808923927333
0.34,0.18994009293715355,1.1820954931888932,-1.731371931674098
0.35,0.18616314254303473,1.183538406278496,-2.0287156310197694
0.36,0.18226945214402762,1.184778513905227,-2.3180686326203355
0.37,0.17833552633336994,1.1857869057350332,-2.5964406505102535
0.38,0.17442953648611564,1.1865357785762765,-2.859748823302945
0.39,0.17059700245485973,1.1869988451975886,-3.102755874336508
0.4,0.16685635713623112,1.1871518591402805,-3.3189643165498306
0.41,0.16321362053472516,1.1869732627629226,-3.5008156849465286
0.42,0.1596898750891207,1.186444939823117,-3.640035560373279
0.43,0.15633681445037373,1.1855530438678097,-3.727552869577155
0.44,0.15323708159411972,1.184288906283097,-3.753425057785774
0.45,0.1505035901404718,1.1826500257726036,-3.7073971231692453
0.46,0.14827903734407086,1.1806410853684428,-3.579865529365987
0.47,0.14671802756087604,1.1782749106806771,-3.361972425033069
0.48,0.14592977658159398,1.1755733859719386,-3.0417389498327725
0.49,0.14591214273866077,1.172568764286479,-2.5888666830312785
0.5,0.14655055529944713,1.1693075358757965,-1.8436327246886746
0.51,0.14768537456685757,1.1658552168904583,-1.416463280691546
0.52,0.1491876727912864,1.1622611656197084,-0.9998722230741168
0.53,0.15099825587506488,1.1585670516823114,-0.592311775185905
0.54,0.15312066876848932,1.1548136555228632,-0.19089309179767194
0.55,0.155585285603735,1.1510411442921833,0.20738550824254617
0.56,0.15841015730623928,1.1472893654279452,0.6048502283623384
0.57,0.16157769918811082,1.143598074773227,1.0026166532552678
0.58,0.16503311133450455,1.1400070462062257,1.4003585534529566
0.59,0.16869871255430685,1.1365560395368832,1.7963662070328155
0.6,0.17249296271861314,1.1332846317337075,2.1878023332680323
0.61,0.17634448565004926,1.130231935916939,2.571022472653267
0.62,0.1801971400433469,1.1274362390761117,2.9418304203731016
0.63,0.18400823939674749,1.1249345832567865,3.2955712559503505
0.64,0.18774547429564992,1.122762298984189,3.6270005714103943
0.65,0.19138692267533708,1.1209524778195705,3.92993412053772
0.66,0.19492065561274585,1.1195353507595613,4.1968934415034305
0.67,0.19833311085928793,1.1185375407742533,4.419146313259985
0.68,0.20158954942105592,1.117981192716529,4.587050909361244
0.69,0.2046243514558501,1.1178830108837479,4.690286210914627
0.7,0.2073410189709607,1.1182532299428942,4.718234567153051
0.71,0.20961301146452688,1.1190945602961493,4.660814364117806
0.72,0.21129150693101284,1.1204011870995052,4.509255923162165
0.73,0.21224203848200765,1.1221578858145833,4.25506833902329
0.74,0.21241081338081877,1.12433912797637,3.8842967101493606
0.75,0.21186074134753413,1.1269075412875071,3.3576926715778366
0.76,0.2107347026990364,1.1298085989017121,2.49637474607895
0.77,0.20918246677843497,1.1329661841797296,2.0290864170213445
0.78,0.20730456766119695,1.1363267852497965,1.5741932406730728
0.79,0.20513610121442954,1.139844885012425,1.1288420362183402
0.8,0.20266629835082395,1.1434759152896314,0.6890993974447261
0.81,0.19987401712914563,1.1471758735723585,0.251599489429453
0.82,0.19675818565833686,1.1509009916063486,-0.18583705620934476
0.83,0.19335138315247344,1.1546075201913772,-0.6238761259714799
0.84,0.18971599010737183,1.158251663034976,-1.061615369511187
0.85,0.1859299403796109,1.161789665599962,-1.4967449226839669
0.86,0.1820710775506532,1.165178043699456,-1.9258293176551176
0.87,0.1782064563140102,1.168373924570862,-2.344599588876787
0.88,0.17438816777718213,1.1713354720999583,-2.74814865900657
0.89,0.17065316079068094,1.1740223774131007,-3.1309433030843095
0.9,0.16702379062879774,1.1763964138881016,-3.4866290999425944
0.91,0.16351090162037543,1.1784220747981022,-3.807786832406347
0.92,0.16012646839968253,1.1800673150838987,-4.085946576754041
0.93,0.15690200348385236,1.181304396310811,-4.3118097102089665
0.94,0.15389791095259212,1.1821108155540128,-4.475383021927096
0.95,0.15120374465243724,1.1824703025335472,-4.566261117884414
0.96,0.14893784689891354,1.1823738537695483,-4.574382352029903
0.97,0.1472431938382274,1.1818207299177825,-4.49103733575006
0.98,0.14626031714382715,1.1808193245812508,-4.309024735327766
0.99,0.14606499798121236,1.1793879049500402,-4.020055953465089
1.0,0.1466167693372402,1.1775554995402358,-3.607451045922271
1.01,0.14777870176784,1.1753637594521074,-3.017342122272969
1.02,0.1493906162936654,1.172874555567451,-2.1859641256291935
1.03,0.15133592179584934,1.1701635605537803,-1.7198140622755136
1.04,0.15356716106196439,1.167280468466362,-1.2674130101221257
1.05,0.15609063552168495,1.164270555125231,-0.8246506415702227
1.06,0.15892934554041857,1.1611781311713105,-0.38743103959964176
1.07,0.16208809098279278,1.1580469435343939,0.04722448323691879
1.08,0.1655362083475241,1.1549204692869874,0.4806964565467039
1.09,0.16921048471761904,1.151842052676754,0.9126424972533793
1.1,0.17303092696753722,1.1488548721858864,1.3411459556320808
1.11,0.17691875841176485,1.1460017514007483,1.763013401665929
1.12,0.18080882572144885,1.1433248422387907,2.174077047350855
1.13,0.18465432187487796,1.1408652096782423,2.569370761899319
1.14,0.18842611880336,1.1386623349153409,2.943105301398902
1.15,0.19210842453126514,1.1367535349857825,3.288507650929896
1.16,0.19568834841190622,1.1351732848335399,3.597753762239078
1.17,0.19914023338934264,1.1339524361285251,3.862099735394357
1.18,0.20241483546350478,1.1331173441992792,4.072046049269376
1.19,0.20543726057571146,1.13268892012521,4.21759952909099
1.2,0.20810736103907448,1.1326816365950005,4.288892559165265
1.21,0.21030080032115203,1.1331025492209306,4.277129094475366
1.22,0.21188038093322178,1.1339504237368805,4.175334993673958
1.23,0.21273461546277578,1.135215033333089,3.977672504155433
1.24,0.2128339069130548,1.1368765483956902,3.6761674231715307
1.25,0.2122506762363039,1.1389046796478515,3.253163662769019
1.26,0.2111187228122339,1.141256684976496,2.646088814475353
1.27,0.20956864796208444,1.1438691045716831,1.8823837559782655
1.28,0.20768338043501258,1.146671429289386,1.4301216234851077
1.29,0.20548996314243217,1.1496168726219758,0.990573061724173
1.3,0.2029798020434659,1.1526614457923503,0.5597793096872026
1.31,0.20013989922247225,1.1557620385703966,0.13406381244032067
1.32,0.19697777288102397,1.1588760582300686,-0.2891026908367212
1.33,0.1935311188756676,1.1619611796166565,-0.7107420142539195
1.34,0.18986280456297414,1.1649752434248475,-1.1303104581099312
1.35,0.18604774116451187,1.1678763092434368,-1.545851581839764
1.36,0.18215924612675924,1.170622849035655,-1.9542507133756817
1.37,0.1782597876206852,1.1731740565573414,-2.3514762214374363
1.38,0.1743968500019093,1.1754902494627733,-2.7327018440681785
1.39,0.17060190594442057,1.1775333524692517,-3.0922445536132046
1.4,0.16689215635630583,1.1792674673044854,-3.4233821285072326
1.41,0.1632797417543691,1.1806595454635451,-3.7182979645219643
1.42,0.15978898794224114,1.1816801682553266,-3.9682532382759566
1.43,0.15646945927162825,1.1823044195055872,-4.163732903684514
1.44,0.1533988823836446,1.1825128358177575,-4.29461874559025
1.45,0.15068332855485356,1.1822924136582835,-4.35075932845786
1.46,0.14845706504434794,1.1816376159303337,-4.32297229096754
1.47,0.14686978950677065,1.1805512826209692,-4.2038704888481755
1.48,0.1460395957147796,1.1790453765303477,-3.986952663951367
1.49,0.14598683373225993,1.177141666117384,-3.6625621980508867
1.5,0.1466171721937641,1.1748727676385666,-3.207922584838096
1.51,0.14777647621254172,1.1722847947662094,-2.5220029297545277
1.52,0.1493268113393385,1.1694471122253776,-1.8487931169767884
1.53,0.15119254646284622,1.1664241929111394,-1.39861859780414
