alt_ft,sos_mps
-3280.839895013123,344.09509441653233
-1640.4199475065616,342.1915612069836
0.0,340.27797013208067
3280.839895013123,336.4187325124269
4921.259842519685,334.4727161031077
6561.679790026246,332.51591523669686
8202.099737532808,330.54753055197114
9842.51968503937,328.567965356485
11482.939632545931,326.57701633639215
13123.359580052493,324.5732359632786
14763.779527559054,322.55825377835225
16404.199475065616,320.530604868561
18044.619422572177,318.49004730803017
19685.03937007874,316.4369663097579
21325.4593175853,314.370477399476
22965.879265091862,312.29095777753787
24606.299212598424,310.1974976669691
26246.719160104985,308.0904650330365
27887.139107611547,305.9695794778982
29527.55905511811,303.83388962966427
31167.97900262467,301.6830810786382
32808.39895013123,299.51749893269215
34448.81889763779,297.33682039208696
36089.238845144355,295.14003007870195
36417.32283464567,295.05560436604105
39370.07874015748,295.05560436604105
42650.9186351706,295.05560436604105
45931.758530183724,295.05560436604105
49212.59842519685,295.05560436604105
52493.43832020997,295.05560436604105
55774.278215223094,295.05560436604105
59055.11811023622,295.05560436604105
62335.95800524934,295.05560436604105
65616.79790026246,295.05560436604105
65944.88188976378,295.0807984377953
68897.63779527559,295.68888913324207
72178.47769028871,296.3628561230563
75459.31758530183,297.0352938995298
78740.15748031496,297.70621282490004
82020.99737532808,298.3749497711286
85301.8372703412,299.04219124949964
88582.67716535433,299.7079472481187
91863.51706036745,300.3715587466197
95144.35695538057,301.0337073552844
98425.1968503937,301.69440270621516
101706.03674540682,302.3536543262754
104986.87664041994,303.01080856705414
108267.71653543306,304.6527685053338
111548.55643044619,306.4741352754137
114829.39632545931,308.28474147719453
118110.23622047243,310.20203160545293
121391.07611548556,311.87248802803873
124671.91601049868,313.6506517628738
127952.7559055118,315.417517334374
131233.59580052493,317.1745404843912
134514.43569553806,318.92062390070913
137795.27559055117,320.6571994622145
141076.1154855643,322.38379758991834
144356.95538057742,324.1005777437902
147637.79527559056,325.80769512556617
150918.63517060367,327.5059143163816
155511.81102362205,329.7832071294094
157480.3149606299,329.7832071294094
164041.99475065616,329.7832071294094
167322.8346456693,329.7832071294094
168963.25459317584,329.63634687904994
170603.6745406824,328.79536328793074
173884.51443569554,327.1081381802784
177165.35433070865,325.4127825456152
180446.1942257218,323.7085479631198
183727.0341207349,321.9959174289155
187007.87401574804,320.27475625402064
190288.71391076114,318.54492616025385
193569.55380577428,316.806285145192
196850.3937007874,315.05868734052973
200131.23359580053,313.30198286344205
203412.07349081364,311.535372732522
206692.91338582677,309.7593360936908
209973.75328083988,307.9737098633627
213254.59317585302,306.17832626263265
216535.43307086613,304.373012626214
219816.27296587927,302.55759120126805
223097.11286089238,300.73121083763453
226377.9527559055,298.8950150514353
229658.79265091862,297.047469057263
232939.63254593176,295.18904037961744
236220.47244094487,293.42567490277366
239501.312335958,292.0839553087104
242782.1522309711,290.73604387040353
246062.99212598425,289.3825483650173
249343.83202099736,288.02339006968833
252624.6719160105,286.65778753810275
255905.5118110236,285.2863524976794
259186.35170603674,283.9090004258515
262467.19160104985,282.5249336327364
265748.031496063,281.1340529454909
269028.8713910761,279.73769320437634
272309.7112860892,278.3343282332481
275590.55118110235,276.92385153106835
278871.3910761155,275.50688313857916
280511.81102362205,274.7963901653138
